Retrieved by E4-util: 2012/01/16,13:56:13                            1 0  0    0
 4.009000+3 8.934761+0         -1          0          0          1 409 1451    1
 0.000000+0 0.000000+0          0          0          0          6 409 1451    2
 9.991673-1 1.130000+8          1          0      10010          7 409 1451    3
 0.000000+0 0.000000+0          0          0         10         17 409 1451    4
  4-Be-  9 LANL       EVAL-NOV88 P.G.Young, E.D.Arthur             409 1451    5
                      DIST-DEC06 REV1-                 20111222    409 1451    6
----ENDF/B-VII.1      MATERIAL  409         REVISION 1             409 1451    7
-----INCIDENT PROTON DATA                                          409 1451    8
------ENDF-6 FORMAT                                                409 1451    9
                                                                   409 1451   10
 REFERENCE: P. G. Young, E. D. Arthur, et al, "Transport Data      409 1451   11
 Libraries for Incident Proton and Neutron Energies to 100 Mev,"   409 1451   12
 Los Alamos National Laboratory report LA-11753-MS (July 1990).    409 1451   13
-1.000000+0-1.388362+0-9.961947-1-1.396938+0-9.848077-1-1.410916+0 409 6  2   73
-9.659258-1-1.433387+0-9.396926-1-1.463395+0-9.063078-1-1.499601+0 409 6  2   74
-8.660254-1-1.539256+0-8.191520-1-1.579159+0-7.660444-1-1.614235+0 409 6  2   75
-7.071068-1-1.639664+0-6.427876-1-1.648889+0-5.735764-1-1.635607+0 409 6  2   76
-5.000000-1-1.593672+0-4.226182-1-1.517653+0-3.420201-1-1.403657+0 409 6  2   77
-2.588190-1-1.250218+0-1.736481-1-1.059683+0-8.715571-2-8.367216-1 409 6  2   78
 2.679490-8-5.913800-1 8.715577-2-3.378005-1 1.736482-1-9.411163-2 409 6  2   79
 2.588191-1 1.174653-1 3.420202-1 2.726992-1 4.226183-1 3.475142-1 409 6  2   80
 5.000000-1 3.220369-1 5.735764-1 1.867964-1 6.427876-1-4.724859-2 409 6  2   81
 7.071068-1-3.327245-1 7.660445-1-5.544549-1 8.191521-1-4.639626-1 409 6  2   82
 8.660254-1 4.744607-1 9.063078-1 3.498941+0 9.396926-1 1.184146+1 409 6  2   83
 9.659258-1 3.566338+1 9.848078-1 1.182798+2                       409 6  2   84
 0.000000+0 8.000000+6         12          0         70         35 409 6  2   85
-1.000000+0 8.484803-1-9.961947-1 8.235228-1-9.848077-1 8.015201-1 409 6  2   86
-9.659258-1 7.710162-1-9.396926-1 7.399593-1-9.063078-1 7.174297-1 409 6  2   87
-8.660254-1 7.118351-1-8.191520-1 7.290298-1-7.660444-1 7.712033-1 409 6  2   88
-7.071068-1 8.364111-1-6.427876-1 9.181406-1-5.735764-1 1.006061+0 409 6  2   89
-5.000000-1 1.087597+0-4.226182-1 1.149269+0-3.420201-1 1.178096+0 409 6  2   90
-2.588190-1 1.163629+0-1.736481-1 1.099269+0-8.715571-2 9.835919-1 409 6  2   91
 2.679490-8 8.213599-1 8.715577-2 6.235783-1 1.736482-1 4.089803-1 409 6  2   92
 2.588191-1 2.034607-1 3.420202-1 3.883517-2 4.226183-1-4.723971-2 409 6  2   93
 5.000000-1-1.493707-2 5.735764-1 1.733963-1 6.427876-1 5.463066-1 409 6  2   94
 7.071068-1 1.112155+0 7.660445-1 1.841998+0 8.191521-1 2.636700+0 409 6  2   95
 8.660254-1 3.247766+0 9.063078-1 3.076890+0 9.396926-1 4.941785-1 409 6  2   96
 9.659258-1-9.918409+0 9.848078-1-5.326012+1                       409 6  2   97
 0.000000+0 1.000000+7         12          0         70         35 409 6  2   98
-1.000000+0 5.370244-1-9.961947-1 5.099213-1-9.848077-1 4.845586-1 409 6  2   99
-9.659258-1 4.479509-1-9.396926-1 4.070400-1-9.063078-1 3.699492-1 409 6  2  100
-8.660254-1 3.440347-1-8.191520-1 3.346804-1-7.660444-1 3.445733-1 409 6  2  101
-7.071068-1 3.729589-1-6.427876-1 4.163035-1-5.735764-1 4.689484-1 409 6  2  102
-5.000000-1 5.236309-1-4.226182-1 5.731765-1-3.420201-1 6.108703-1 409 6  2  103
-2.588190-1 6.311683-1-1.736481-1 6.300351-1-8.715571-2 6.048493-1 409 6  2  104
 2.679490-8 5.546553-1 8.715577-2 4.811161-1 1.736482-1 3.888071-1 409 6  2  105
 2.588191-1 2.870848-1 3.420202-1 1.912719-1 4.226183-1 1.241360-1 409 6  2  106
